Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
Employed,18-24,Diploma,Healthcare,Rural,Moderate,16.0,44200.0,4/14/2023
Employed,45-54,Bachelors,Retail,Urban,High,0.0,137100.0,4/15/2023
Employed,18-24,Master,Health,Urban,High,16.0,76886.0,4/16/2023
Unemployed,25-34,Bachelors,Health,Urban,Low,16.0,73800.0,4/17/2023
Employed,25-34,Master,Retail,Urban,Low,16.0,76886.0,4/18/2023
Employed,18-24,Diploma,Tech ,Delhi,High,16.0,40300.0,4/19/2023
Employed,18-24,Masters,Healthcare,Mumbai,Medium,26.0,25900.0,4/20/2023
Employed,25-34,Not Provided,Education,Not Provided,High,5.0,68500.0,4/21/2023
Unemployed,35-44,Ph.D,Finance,Delhi,Low,28.0,44700.0,4/22/2023
Unemployed,18-24,Phd,Health,Urban,High,10.0,20200.0,4/23/2023
Employed,25-34,Not Provided,Retail,Urban,Medium,1.0,130200.0,4/24/2023
Employed,25-34,Masters,Education,Suburban,Low,15.0,7600.0,4/25/2023
Unemployed,45-54,High School,Finance,Delhi,Low,16.0,109500.0,4/26/2023
Employed,25-34,Phd,Retail,Urban,Low,16.0,26900.0,4/27/2023
Employed,35-44,High School,Technology,Rural,Low,7.0,21000.0,4/28/2023
Employed,25-34,Not Provided,Finance,Urban,Medium,16.0,5400.0,4/29/2023
Employed,18-24,Phd,Retail,Mumbai,High,16.0,35200.0,4/30/2023
Employed,18-24,Masters,Healthcare,Suburban,Moderate,16.0,76886.0,5/1/2023
Employed,45-54,Phd,Tech ,Hyderabad,High,18.0,10500.0,5/2/2023
Employed,45-54,High School,Healthcare,Urban,High,0.0,123100.0,5/3/2023
Employed,18-24,High School,Technology,Mumbai,Medium,8.0,43400.0,5/4/2023
Employed,45-54,Not Provided,Finance,Not Provided,Medium,20.0,79000.0,5/5/2023
Employed,25-34,Diploma,Education,Urban,High,16.0,125300.0,5/6/2023
Unemployed,25-34,Ph.D,Tech ,Urban,Medium,23.0,11500.0,5/7/2023
Unemployed,55+,Phd,Technology,Not Provided,Medium,16.0,76886.0,5/8/2023
Employed,18-24,High School,Health,Bangalore,Low,6.0,76886.0,5/9/2023
Unemployed,35-44,High School,Retail,Hyderabad,Moderate,16.0,23500.0,5/10/2023
Unemployed,18-24,Bachelor'S,Education,Delhi,High,16.0,54800.0,5/11/2023
Employed,35-44,Bachelors, Fintech,Not Provided,Medium,16.0,140000.0,5/12/2023
Unemployed,18-24,Master, Fintech,Urban,Low,16.0,76886.0,5/13/2023
Employed,45-54,High School,Retail,Urban,High,16.0,110800.0,5/14/2023
Employed,25-34,Masters,Finance,Suburban,High,11.0,67000.0,5/15/2023
Employed,25-34,High School,Finance,Bangalore,High,16.0,109800.0,5/16/2023
Employed,45-54,Phd,Healthcare,Urban,Low,16.0,76886.0,5/17/2023
Employed,18-24,Bachelor'S,Retail,Bangalore,High,18.0,76886.0,5/18/2023
Unemployed,35-44,Masters,Retail,Mumbai,Medium,16.0,65300.0,5/19/2023
Employed,35-44,High School,Technology,Urban,Low,16.0,76500.0,5/20/2023
Employed,25-34,Not Provided,Technology,Hyderabad,Low,5.0,141000.0,5/21/2023
Employed,18-24,Diploma,Healthcare,Delhi,High,16.0,8000.0,5/22/2023
Unemployed,25-34,Not Provided,Health,Bangalore,High,16.0,52800.0,5/23/2023
Employed,25-34,Bachelors,Education,Suburban,High,16.0,96300.0,5/24/2023
Employed,18-24,Not Provided,Retail,Bangalore,High,0.0,103700.0,5/25/2023
Employed,25-34,Bachelors,Education,Rural,Low,16.0,100700.0,5/26/2023
Unemployed,18-24,Masters, Fintech,Urban,High,17.0,122200.0,5/27/2023
Unemployed,25-34,High School, Fintech,Not Provided,Moderate,16.0,76886.0,5/28/2023
Employed,25-34,Not Provided,Healthcare,Rural,High,16.0,22700.0,5/29/2023
Employed,18-24,Phd,Healthcare,Urban,Medium,28.0,76886.0,5/30/2023
Unemployed,18-24,Bachelor'S,Tech ,Bangalore,Moderate,16.0,89900.0,5/31/2023
Employed,18-24,Master,Retail,Delhi,Low,30.0,65200.0,6/1/2023
Employed,18-24,High School,Health,Delhi,High,16.0,76886.0,6/2/2023
Employed,25-34,Diploma,Retail,Hyderabad,High,16.0,97100.0,6/3/2023
Employed,18-24,High School,Education,Bangalore,High,5.0,40400.0,6/4/2023
Employed,18-24,Masters,Retail,Suburban,High,16.0,102600.0,6/5/2023
Unemployed,55+,Master,Retail,Urban,High,16.0,125900.0,6/6/2023
Unemployed,25-34,Not Provided, Fintech,Bangalore,High,5.0,135500.0,6/7/2023
Employed,55+,Master,Education,Rural,Medium,16.0,76886.0,6/8/2023
Employed,25-34,Bachelors,Education,Hyderabad,High,0.0,22400.0,6/9/2023
Unemployed,45-54,Not Provided,Health,Not Provided,Moderate,16.0,50000.0,6/10/2023
Employed,55+,Bachelor'S,Health,Urban,High,16.0,81200.0,6/11/2023
Employed,55+,Masters,Retail,Not Provided,High,16.0,119200.0,6/12/2023
Employed,35-44,Diploma,Retail,Hyderabad,High,16.0,106600.0,6/13/2023
Employed,18-24,Masters,Health,Mumbai,Moderate,3.0,44700.0,6/14/2023
Employed,25-34,Diploma,Education,Bangalore,Moderate,19.0,37600.0,6/15/2023
Unemployed,18-24,Bachelors,Health,Hyderabad,High,16.0,131300.0,6/16/2023
Employed,18-24,Phd,Education,Suburban,Medium,16.0,118300.0,6/17/2023
Employed,25-34,Ph.D,Retail,Urban,Low,16.0,75300.0,6/18/2023
Unemployed,55+,Diploma,Technology,Not Provided,High,19.0,53300.0,6/19/2023
Unemployed,18-24,Bachelors,Health,Urban,Low,16.0,88400.0,6/20/2023
Unemployed,55+,Master,Education,Mumbai,Low,19.0,110800.0,6/21/2023
Unemployed,55+,Bachelors,Education,Hyderabad,Low,28.0,115100.0,6/22/2023
Employed,25-34,Bachelors,Education,Hyderabad,High,9.0,11800.0,6/23/2023
Employed,55+,High School,Retail,Not Provided,High,16.0,41000.0,6/24/2023
Unemployed,35-44,Ph.D,Retail,Urban,High,23.0,16400.0,6/25/2023
Unemployed,18-24,Masters,Tech ,Hyderabad,Low,18.0,80100.0,6/26/2023
Unemployed,25-34,High School,Retail,Urban,High,26.0,76886.0,6/27/2023
Unemployed,45-54,Not Provided,Retail,Urban,High,16.0,21200.0,6/28/2023
Unemployed,18-24,High School,Technology,Urban,Low,16.0,12500.0,6/29/2023
Unemployed,45-54,Phd,Retail,Suburban,High,16.0,70700.0,6/30/2023
Unemployed,18-24,High School,Retail,Suburban,Low,29.0,96000.0,7/1/2023
Employed,18-24,Masters,Health,Suburban,Low,16.0,123200.0,7/2/2023
Employed,25-34,Master,Retail,Suburban,High,16.0,76886.0,7/3/2023
Unemployed,35-44,Ph.D,Healthcare,Urban,Medium,5.0,54200.0,7/4/2023
Unemployed,55+,Masters,Healthcare,Suburban,Medium,16.0,24000.0,7/5/2023
Unemployed,55+,Bachelor'S,Health,Rural,High,16.0,65100.0,7/6/2023
Employed,25-34,Masters,Retail,Suburban,High,16.0,85900.0,7/7/2023
Employed,18-24,Bachelor'S,Health,Suburban,High,16.0,67000.0,7/8/2023
Unemployed,55+,Bachelor'S,Finance,Mumbai,Moderate,16.0,114100.0,7/9/2023
Employed,25-34,High School,Education,Mumbai,Medium,16.0,30100.0,7/10/2023
Unemployed,18-24,Bachelor'S,Technology,Bangalore,Low,17.0,139100.0,7/11/2023
Unemployed,18-24,High School,Retail,Rural,High,16.0,140500.0,7/12/2023
Unemployed,18-24,Bachelors,Health,Hyderabad,Low,16.0,60500.0,7/13/2023
Employed,18-24,High School,Tech ,Delhi,Low,16.0,58000.0,7/14/2023
Employed,18-24,Diploma,Finance,Mumbai,Moderate,24.0,118200.0,7/15/2023
Employed,18-24,High School,Tech ,Mumbai,High,29.0,77200.0,7/16/2023
Employed,45-54,Bachelor'S,Finance,Urban,High,24.0,96400.0,7/17/2023
Employed,25-34,Bachelor'S,Technology,Suburban,Medium,14.0,76886.0,7/18/2023
Unemployed,18-24,Master,Retail,Delhi,High,16.0,76886.0,7/19/2023
Employed,55+,Diploma,Education,Urban,Low,16.0,116300.0,7/20/2023
Employed,45-54,Bachelor'S,Retail,Not Provided,Medium,29.0,76886.0,7/21/2023
Employed,18-24,Not Provided,Education,Mumbai,Medium,16.0,66400.0,7/22/2023
Employed,25-34,Diploma, Fintech,Mumbai,Medium,13.0,32900.0,7/23/2023
Unemployed,35-44,Not Provided,Health,Urban,Medium,16.0,125900.0,7/24/2023
Employed,18-24,Not Provided,Retail,Urban,Moderate,22.0,82700.0,7/25/2023
Employed,55+,Bachelors,Retail,Bangalore,High,6.0,76886.0,7/26/2023
Unemployed,35-44,Not Provided,Retail,Rural,High,28.0,102300.0,7/27/2023
Employed,25-34,Phd,Health,Delhi,High,16.0,121300.0,7/28/2023
Employed,18-24,Phd,Education,Not Provided,Low,20.0,64500.0,7/29/2023
Unemployed,25-34,Diploma,Retail,Urban,Low,16.0,75200.0,7/30/2023
Unemployed,45-54,Bachelor'S,Health,Rural,Moderate,11.0,74200.0,7/31/2023
Unemployed,55+,Masters,Tech ,Suburban,Moderate,18.0,127100.0,8/1/2023
Employed,25-34,High School,Education,Rural,High,14.0,68600.0,8/2/2023
Employed,25-34,Diploma,Health,Delhi,High,16.0,76886.0,8/3/2023
Employed,25-34,Phd,Technology,Mumbai,High,16.0,37700.0,8/4/2023
Employed,35-44,Bachelor'S,Health,Delhi,Low,16.0,76000.0,8/5/2023
Employed,18-24,Phd,Education,Delhi,High,24.0,76886.0,8/6/2023
Employed,55+,Ph.D,Education,Hyderabad,High,21.0,31500.0,8/7/2023
Unemployed,25-34,Bachelors,Healthcare,Rural,Low,16.0,126700.0,8/8/2023
Unemployed,55+,Ph.D,Finance,Hyderabad,High,0.0,76886.0,8/9/2023
Employed,35-44,Diploma,Tech ,Mumbai,Low,13.0,6500.0,8/10/2023
Employed,45-54,Bachelors,Retail,Hyderabad,High,16.0,45500.0,8/11/2023
Employed,18-24,Bachelor'S,Retail,Hyderabad,Medium,20.0,22300.0,8/12/2023
Employed,18-24,Not Provided,Technology,Urban,High,16.0,6500.0,8/13/2023
Unemployed,45-54,High School,Health,Urban,High,16.0,76886.0,8/14/2023
Employed,25-34,Master,Technology,Hyderabad,High,27.0,76886.0,8/15/2023
Unemployed,18-24,Not Provided,Retail,Urban,High,22.0,107400.0,8/16/2023
Unemployed,18-24,Bachelor'S,Technology,Bangalore,Low,16.0,83800.0,8/17/2023
Unemployed,18-24,High School,Retail,Delhi,High,25.0,70400.0,8/18/2023
Employed,25-34,Ph.D,Tech ,Hyderabad,Low,2.0,105700.0,8/19/2023
Unemployed,35-44,Diploma,Retail,Mumbai,Moderate,10.0,11300.0,8/20/2023
Employed,25-34,High School,Education,Not Provided,Moderate,16.0,76886.0,8/21/2023
Unemployed,45-54,Not Provided,Healthcare,Urban,High,22.0,76886.0,8/22/2023
Unemployed,18-24,Bachelor'S,Finance,Delhi,High,7.0,17600.0,8/23/2023
Unemployed,18-24,Master,Retail,Urban,Moderate,16.0,8000.0,8/24/2023
Employed,18-24,Masters,Finance,Delhi,High,29.0,76886.0,8/25/2023
Employed,45-54,Not Provided,Education,Mumbai,Low,28.0,7100.0,8/26/2023
Unemployed,18-24,Ph.D,Tech ,Not Provided,Low,27.0,35500.0,8/27/2023
Unemployed,45-54,Phd,Finance,Not Provided,Low,0.0,96600.0,8/28/2023
Employed,45-54,Ph.D,Tech ,Not Provided,High,16.0,136200.0,8/29/2023
Employed,18-24,Masters,Healthcare,Not Provided,High,15.0,35100.0,8/30/2023
Unemployed,18-24,Bachelor'S,Education,Mumbai,High,16.0,39900.0,8/31/2023
Employed,18-24,Diploma,Retail,Bangalore,High,16.0,77600.0,9/1/2023
Employed,18-24,Masters,Retail,Delhi,High,7.0,15000.0,9/2/2023
Employed,18-24,Bachelor'S,Healthcare,Urban,Low,16.0,92500.0,9/3/2023
Unemployed,25-34,Masters,Healthcare,Rural,High,16.0,106800.0,9/4/2023
Unemployed,18-24,Bachelors,Tech ,Urban,Medium,16.0,79900.0,9/5/2023
Employed,25-34,Bachelor'S, Fintech,Bangalore,Moderate,16.0,125300.0,9/6/2023
Unemployed,25-34,Bachelor'S, Fintech,Hyderabad,High,16.0,76886.0,9/7/2023
Unemployed,25-34,Master,Tech ,Hyderabad,Medium,23.0,102200.0,9/8/2023
Employed,45-54,Bachelors,Retail,Urban,High,16.0,82300.0,9/9/2023
Employed,25-34,Ph.D,Healthcare,Mumbai,Low,23.0,102800.0,9/10/2023
Employed,18-24,Not Provided,Education,Suburban,High,17.0,84100.0,9/11/2023
Employed,18-24,Master,Health,Hyderabad,Low,6.0,68500.0,9/12/2023
Unemployed,18-24,High School, Fintech,Hyderabad,Medium,16.0,76886.0,9/13/2023
Employed,18-24,Bachelor'S,Tech ,Suburban,Moderate,1.0,126900.0,9/14/2023
Employed,18-24,High School,Retail,Urban,Moderate,6.0,120300.0,9/15/2023
Employed,18-24,Master,Tech ,Urban,Low,16.0,37000.0,9/16/2023
Employed,25-34,Phd,Retail,Bangalore,High,16.0,119400.0,9/17/2023
Employed,18-24,Ph.D,Healthcare,Rural,High,30.0,144200.0,9/18/2023
Employed,18-24,Bachelors,Finance,Not Provided,Moderate,29.0,37500.0,9/19/2023
Employed,35-44,Diploma,Health,Not Provided,Medium,16.0,26100.0,9/20/2023
Unemployed,35-44,Master,Finance,Not Provided,High,3.0,104000.0,9/21/2023
Employed,45-54,High School,Education,Bangalore,High,6.0,66200.0,9/22/2023
Unemployed,18-24,Diploma, Fintech,Not Provided,Moderate,8.0,106700.0,9/23/2023
Unemployed,55+,Bachelors, Fintech,Hyderabad,Medium,5.0,88000.0,9/24/2023
Employed,25-34,Bachelors,Tech ,Hyderabad,High,26.0,103000.0,9/25/2023
Employed,18-24,Ph.D,Retail,Suburban,High,13.0,114200.0,9/26/2023
Employed,25-34,Phd,Retail,Suburban,Low,16.0,8900.0,9/27/2023
Employed,45-54,Ph.D,Health,Rural,Moderate,16.0,44300.0,9/28/2023
Employed,18-24,Ph.D,Tech ,Not Provided,Low,16.0,104400.0,9/29/2023
Unemployed,45-54,Ph.D,Retail,Not Provided,High,0.0,76886.0,9/30/2023
Employed,18-24,Diploma,Retail,Urban,High,14.0,129800.0,10/1/2023
Employed,25-34,Bachelors,Retail,Mumbai,High,16.0,66100.0,10/2/2023
Employed,18-24,Bachelors,Finance,Bangalore,Low,16.0,114500.0,10/3/2023
Unemployed,18-24,High School,Retail,Mumbai,Low,16.0,112900.0,10/4/2023
Employed,18-24,Ph.D,Retail,Mumbai,Low,3.0,88300.0,10/5/2023
Employed,18-24,Bachelor'S,Retail,Rural,High,16.0,34400.0,10/6/2023
Employed,25-34,High School,Retail,Delhi,Low,26.0,144200.0,10/7/2023
Employed,45-54,Bachelors,Tech ,Suburban,Low,16.0,8700.0,10/8/2023
Unemployed,18-24,Masters,Tech ,Urban,Moderate,16.0,13900.0,10/9/2023
Unemployed,18-24,Not Provided,Healthcare,Not Provided,Low,4.0,76886.0,10/10/2023
Unemployed,25-34,High School, Fintech,Mumbai,High,16.0,76886.0,10/11/2023
Employed,18-24,Bachelors, Fintech,Urban,High,17.0,78200.0,10/12/2023
Unemployed,45-54,Diploma,Tech ,Bangalore,High,16.0,135100.0,10/13/2023
Unemployed,18-24,Bachelors,Education,Urban,Moderate,16.0,76886.0,10/14/2023
Employed,35-44,Ph.D,Retail,Suburban,Low,16.0,76886.0,10/15/2023
Employed,55+,Phd, Fintech,Suburban,Medium,7.0,109300.0,10/16/2023
Unemployed,25-34,Diploma,Retail,Delhi,High,16.0,57800.0,10/17/2023
Employed,25-34,Masters,Retail,Mumbai,High,16.0,76886.0,10/18/2023
Employed,18-24,Bachelors,Health,Not Provided,High,16.0,113000.0,10/19/2023
Employed,25-34,Bachelor'S,Retail,Delhi,High,16.0,32100.0,10/20/2023
Unemployed,18-24,High School, Fintech,Mumbai,Low,3.0,12600.0,10/21/2023
Employed,25-34,Diploma,Retail,Hyderabad,High,16.0,71800.0,10/22/2023
Unemployed,25-34,Phd,Technology,Hyderabad,Low,22.0,76886.0,10/23/2023
Employed,25-34,Ph.D,Tech ,Urban,Moderate,16.0,101500.0,10/24/2023
Employed,25-34,Master,Health,Bangalore,High,30.0,30500.0,10/25/2023
Employed,18-24,Bachelor'S,Healthcare,Suburban,Low,12.0,78300.0,10/26/2023
Unemployed,18-24,Masters,Retail,Urban,High,24.0,98200.0,10/27/2023
Employed,45-54,Bachelor'S,Education,Suburban,High,22.0,105000.0,10/28/2023
Unemployed,25-34,Phd,Health,Urban,High,21.0,141700.0,10/29/2023
Employed,35-44,Bachelors, Fintech,Suburban,High,16.0,146900.0,10/30/2023
Employed,55+,Bachelors,Retail,Urban,Medium,16.0,22100.0,10/31/2023
Employed,45-54,High School,Health,Hyderabad,High,13.0,83800.0,11/1/2023
Unemployed,18-24,Phd,Retail,Delhi,Medium,16.0,133600.0,11/2/2023
Employed,18-24,High School,Retail,Rural,Low,15.0,102800.0,11/3/2023
Employed,45-54,Ph.D,Finance,Urban,High,25.0,89300.0,11/4/2023
Unemployed,25-34,Master,Healthcare,Urban,Low,16.0,61200.0,11/5/2023
Unemployed,18-24,Bachelors,Technology,Delhi,High,2.0,108300.0,11/6/2023
Unemployed,25-34,High School,Retail,Urban,High,16.0,128500.0,11/7/2023
Employed,18-24,Phd,Retail,Urban,High,16.0,117600.0,11/8/2023
Employed,25-34,High School,Retail,Rural,Medium,16.0,21400.0,11/9/2023
Unemployed,35-44,Not Provided,Technology,Urban,Low,6.0,137300.0,11/10/2023
Unemployed,55+,Phd, Fintech,Bangalore,Low,16.0,62300.0,11/11/2023
Employed,18-24,High School,Health,Mumbai,High,15.0,88500.0,11/12/2023
Unemployed,18-24,High School,Education,Not Provided,Low,16.0,76886.0,11/13/2023
Unemployed,25-34,Phd, Fintech,Hyderabad,Low,23.0,141200.0,11/14/2023
Unemployed,18-24,Master,Finance,Not Provided,Low,16.0,142300.0,11/15/2023
Employed,25-34,Ph.D,Education,Mumbai,Low,1.0,115000.0,11/16/2023
Unemployed,55+,Masters,Tech ,Bangalore,High,21.0,76886.0,11/17/2023
Employed,45-54,Phd, Fintech,Suburban,Moderate,0.0,89600.0,11/18/2023
Unemployed,35-44,Masters,Education,Suburban,Moderate,0.0,42700.0,11/19/2023
Employed,25-34,Bachelor'S,Education,Mumbai,Low,18.0,76886.0,11/20/2023
Employed,55+,Masters, Fintech,Rural,Medium,25.0,38000.0,11/21/2023
Unemployed,18-24,High School,Healthcare,Delhi,Moderate,20.0,39800.0,11/22/2023
Employed,45-54,Not Provided,Retail,Hyderabad,Medium,1.0,31000.0,11/23/2023
Employed,35-44,Bachelors, Fintech,Not Provided,High,12.0,61500.0,11/24/2023
Employed,35-44,Masters,Retail,Suburban,Medium,28.0,56800.0,11/25/2023
Employed,35-44,Phd,Healthcare,Suburban,High,7.0,15900.0,11/26/2023
Unemployed,55+,Diploma,Retail,Urban,Moderate,20.0,96600.0,11/27/2023
